P0L,P0R,P1L,P1R,C0L,C0R,C1L,C1R,KEY
0xF5B7,0x05B6,0xF5F7,0x05B6,0x6D99,0xEF0C,0x6170,0x1E1F,0xEA09
0xF5A7,0x05B6,0xF5E7,0x05B6,0x9BDA,0x99F0,0x14C0,0x82C7,0xEA09
0xF597,0x05B6,0xF5D7,0x05B6,0xC8EA,0x6935,0x75C0,0xA9BA,0xEA09
0xF587,0x05B6,0xF5C7,0x05B6,0xF0B7,0xC5BA,0xECDA,0x3EDB,0xEA09
0xF5F7,0x05B6,0xF5B7,0x05B6,0x6170,0x1E1F,0x6D99,0xEF0C,0xEA09
0xF5E7,0x05B6,0xF5A7,0x05B6,0x14C0,0x82C7,0x9BDA,0x99F0,0xEA09
0xF5D7,0x05B6,0xF597,0x05B6,0x75C0,0xA9BA,0xC8EA,0x6935,0xEA09
0xF5C7,0x05B6,0xF587,0x05B6,0xECDA,0x3EDB,0xF0B7,0xC5BA,0xEA09
0xF5B7,0x45B6,0xF5F7,0x45B6,0x2879,0xB9AE,0x234F,0xEC06,0xEA09
0xF5A7,0x45B6,0xF5E7,0x45B6,0x56D8,0x0404,0x7273,0xC45E,0xEA09
0xF597,0x45B6,0xF5D7,0x45B6,0xD4F0,0x1EE7,0x4E04,0xA2F3,0xEA09
0xF587,0x45B6,0xF5C7,0x45B6,0xBE02,0xE2CB,0x7E73,0xB730,0xEA09
0xF5F7,0x45B6,0xF5B7,0x45B6,0x234F,0xEC06,0x2879,0xB9AE,0xEA09
0xF5E7,0x45B6,0xF5A7,0x45B6,0x7273,0xC45E,0x56D8,0x0404,0xEA09
0xF5D7,0x45B6,0xF597,0x45B6,0x4E04,0xA2F3,0xD4F0,0x1EE7,0xEA09
0xF5C7,0x45B6,0xF587,0x45B6,0x7E73,0xB730,0xBE02,0xE2CB,0xEA09
0xF5B7,0x85B6,0xF5F7,0x85B6,0xC36E,0xE0B4,0x5BBD,0x1475,0xEA09
0xF5A7,0x85B6,0xF5E7,0x85B6,0xC1A3,0x1D74,0xB6A2,0xAF23,0xEA09
0xF597,0x85B6,0xF5D7,0x85B6,0x30E0,0xE3EB,0xBE5F,0xB7F7,0xEA09
0xF587,0x85B6,0xF5C7,0x85B6,0x6460,0xD76F,0x983C,0x33B9,0xEA09
0xF5F7,0x85B6,0xF5B7,0x85B6,0x5BBD,0x1475,0xC36E,0xE0B4,0xEA09
0xF5E7,0x85B6,0xF5A7,0x85B6,0xB6A2,0xAF23,0xC1A3,0x1D74,0xEA09
